x,y
65.36486484431333,92.43756420086405
84.71603958769333,92.4078550129552
14.572540101575736,30.457014519524385
4.334888013015159,19.784899146483014
15.529006075617458,22.394560834215994
32.98776089973949,31.613697324556135
71.85292427627991,10.570862868288689
2.6056891293812168,39.32836518527223
14.358965974164795,70.79881816290715
91.6646351240785,14.399291731344444
97.55417981971702,31.253592832890618
40.76121908117115,55.328866675440935
98.97169220125646,9.607404097716865
83.0837472463943,99.19680133912549
34.537132387056765,29.56533349227952
40.35032719071305,93.89259164310667
75.12263896232928,99.2299462429739
14.614872488868757,13.400985855647296
37.784168754059664,47.42220972292712
12.344855914193342,33.44260823559231
